% Model:              Maglev electromagnet small scale.mph
% Version:            COMSOL 6.2.0.415
% Date:               Mar 27 2025, 10:47
% Dimension:          1
% Nodes:              682
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, y-component
0                         -5.942514074006916E-5
0.5647979070104014        -2.7280250386216406E-5
0.6185199268729136        -2.4222717033798672E-5
0.6773081839823725        -2.0876844013808982E-5
1.4680866851663446        2.4129498783072234E-5
1.4956267223867528        2.5696911597059245E-5
1.49700250965207          2.5775213110297224E-5
2.1973121587978426        2.636533105853948E-4
2.241555844745598         4.746408737777967E-4
2.6486334861380563        4.408492633203292E-4
2.7861965426141566        2.826742785057981E-4
4.123697296767247         2.3330447471436698E-4
4.194927525485085         2.3067522579254358E-4
4.691029531624622         2.1236311746113435E-4
4.9000722445823115        2.0464693659882097E-4
6.166093342253809         1.5791558860337506E-4
6.264236125617138         -3.3239058145116695E-4
6.325955885116741         -8.202785291041034E-4
6.660391033361641         -4.4057994830514196E-4
7.345765037968185         -1.123883055485721E-4
7.461184127461138         -1.2216127980219912E-4
7.512945705272621         -1.8771641088640302E-4
8.217947654689624         -1.972632115899649E-4
8.425835189757201         -1.8204014184922858E-4
9.331344085210034         -1.1573205338140586E-4
9.652896087725168         -9.218562690551486E-5
10.159671265358924        -5.507578350080495E-5
10.565785572209762        -2.533707687770779E-5
11.273067695879327        2.64553747076754E-5
11.792846470177736        6.451743806614196E-5
12.101394876028223        -1.0595836730624853E-4
12.473868326173232        -3.1424372295699117E-4
12.76787390926249         -3.798864306289108E-5
12.8746916978264          2.491889779045206E-4
13.16829512158111         2.462000217711216E-4
13.277427508928369        2.450890268299095E-4
13.309615255842616        -2.6916222410120985E-5
14.010410506834305        -2.5181170371341274E-4
14.475487432040175        -2.2076516064904663E-4
14.56014616090453         -2.151137066013138E-4
15.365453697678873        -1.6135482551041168E-4
15.546448741556532        -1.4927237179246814E-4
16.44704180253109         -8.915263732549647E-5
16.890585863792566        -5.954353600887419E-5
17.42129213951513         -2.4115858671029017E-5
17.876888444444575        1.4645216483005578E-5
18.155053661946567        2.032577193636769E-5
18.457857172828255        1.7422694213400825E-5
18.950820178476306        1.2696494322994413E-5
19.24960369159178         9.831957652222018E-6
19.534738705735023        7.098273669309743E-6
19.83057241997549         4.2620176989421036E-6
20.33050522226476         -5.31003944708125E-7
20.622318938739014        -3.32871886268701E-6
20.914423749523436        2.1047233170719463E-6
21.364582283300777        1.3997297399143498E-4
21.39163402716271         1.2349739190808305E-4
21.44200880905948         9.640842844418442E-5
21.898713012313237        7.081328578906651E-5
22.044042914551653        6.266854012361008E-5
22.44789607961539         4.0035336185804745E-5
22.816417136082237        1.9382254947491285E-5
22.99355654349411         9.454804378309596E-6
23.48728153870364         -1.821510011287726E-5
23.504158132068056        -1.9160917584264402E-5
23.550223207964592        -2.17425495915674E-5
24.049191292417262        -4.9706293325281824E-5
24.259655760234224        -6.150138528901266E-5
24.560420184520737        -7.835717135436838E-5
24.930520162855643        1.8192639420196445E-4
25.65409570733305         5.433278069719123E-4
25.674667578046268        2.3566787984010364E-4
26.808633025264328        -2.2888979323529648E-5
26.916648653442735        -1.7994004426139736E-5
27.72114984934106         -9.718160823454315E-6
27.77479025391665         -3.633428776194511E-5
27.85175466716865         -3.4087588621445043E-5
28.03630915040513         -2.87001844783215E-5
28.197090879400903        -2.3588071263636578E-5
28.348886568011785        -1.838989623436023E-5
28.703643635450845        -7.219858913717304E-6
28.77277434885751         -5.043178814526151E-6
29.015728646300673        2.60658723296968E-6
29.27729359868753         1.0842336561247529E-5
